,target,Subject,Precedence,Recievers_count,Sub_Unsub_link,Replied_mail,Content_type_html,Content_type_plain,Full_content,content_char,sub_char
0,0,ilug architectur crossov troubl w rh solv,0,0.0,0,1,0,1,blank,0.00010924186148131964,0.007382091592617908
1,1,cash home equiti,1,0.0,0,0,0,1,mortgag lender broker readi compet busi whether new home loan seek refin current home loan lower interest rate help mortgag rate low year take action refin home us includ peski credit card bill use extra cash pool alway want other say say yes even turn elsewher help easi term mortgag referr servic combin highest qualiti loan econom rate easiest qualif take minut complet follow form oblig inform kept strict confidenti must least year age servic avail within unit state servic fast free free inform request,0.023541621149224385,0.003691045796308954
2,1,mortgag rate best lkvt rfxd c,0,0.0,1,0,0,1,dear homeown interest rate lowest point year help find best rate situat match need hundr lender home improv refin second mortgag home equiti loan much much elig even less perfect credit servic free home owner new home buyer without oblig other say say yes http www wiildaccess com take minut complet follow form oblig inform kept strict confidenti must least year age servic avail within unit state servic fast free http www wiildaccess com opt,0.01900808389774962,0.010663021189336978
3,1,onlin approv,1,0.02702702702702703,0,0,1,0,free card search sincer new offer staff remov,0.001474765129997815,0.003964456596035544
4,0,ilug expand string multipl time,0,0.02702702702702703,0,1,0,1,blank,0.00010924186148131964,0.0054682159945317835
5,1,half price cigarett tobacco,1,0.02702702702702703,0,0,0,0,blank,0.00010924186148131964,0.004511278195488721
6,1,notic,1,0.0,0,0,0,0,blank,0.00010924186148131964,0.0008202323991797675
7,0,sylphe gnome ximian apt repo,0,0.02702702702702703,1,1,0,1,upon time lanc wrote well look thing import mail set evolut sylphe anyon success run sylphe gnome notic apt get instal gnome session rpm http apt sunnmor net gnome repositori sylphe one packag select delet think simpli sylphe gnome applic simpl gtk one need gnome lib upgrad gnome keep gtk let keep sylphe problem matthia ps expect freshrpm net minut matthia saou world trade center edificio nort planta system network engin barcelona spain electron group interact phone rpm list mail list http list freshrpm net mailman listinfo rpm list,0.02116561066200568,0.006151742993848257
8,0,curs interfac nmh,0,0.02702702702702703,1,1,0,0,year ago packag call mh e emac interfac mh know still around work idea still around activ maintain quit well evolv useta use mh e regular never figur whether could handl exmh multidrop mechan someth grown reli work recent mh e version love use mh e read mail remot handl multipl inbox folder setup regard tom lane exmh user mail list exmh user redhat com https listman redhat com mailman listinfo exmh user j c lawrenc,0.016686694341271575,0.0031442241968557758
9,1,qualifi potenti client industri,1,0.0,0,0,1,0,onlin market strategi need client increas sale everi month target e mail market proven method return sale databas million target address reach potenti client anywher world staff creat interact ad campaign spec ific target client base design produc stagger respons busi steadi lead sourc make sure sale team consist close deal g reatest return market dollar target e mail market effect way reach global local market small expens compar conventi onal market qualiti work dedic profession staff ensur ad campai gn success put educ team market work fill form low speak one market specialist requir input field name web address compani name state busi phone home phone email address type busi remov pleas click,0.028375573519772778,0.006151742993848257
